Sales Transactions: July 14,,,,,,,
,,,,,,,
Cust ID,Region,Payment ,Transaction Code,Source,Amount,Product,Time Of Day
10001,East,Paypal,93816545,Web,20.19,DVD,22:19
10002,West,Credit,74083490,Web,17.85,DVD,13:27
10003,North,Credit,64942368,Web,23.98,DVD,14:27
10004,West,Paypal,70560957,Email,23.51,Book,15:38
10005,South,Credit,35208817,Web,15.33,Book,15:21
10006,West,Paypal,20978903,Email,17.30,DVD,13:11
10007,East,Credit,80103311,Web,177.72,Book,21:59
10008,West,Credit,14132683,Web,21.76,Book,04:04
10009,West,Paypal,40128225,Web,15.92,DVD,19:35
10010,South,Paypal,49073721,Web,23.39,DVD,13:26
10011,South,Paypal,57398827,Email,24.45,Book,14:17
10012,East,Credit,34400661,Web,20.39,Book,01:01
10013,North,Paypal,54242587,Web,19.54,DVD,10:04
10014,East,Credit,62597750,Web,151.67,Book,09:09
10015,West,Credit,51555882,Web,21.01,DVD,05:05
10016,West,Paypal,54332964,Web,22.91,DVD,20:29
10017,West,Credit,26623353,Email,19.51,Book,15:03
10018,West,Paypal,78594431,Web,20.16,Book,18:54
10019,West,Credit,89385348,Web,17.53,DVD,20:00
10020,West,Credit,69868417,Web,17.74,DVD,12:37
10021,North,Paypal,59660276,Email,17.16,Book,05:05
10022,West,Credit,25456590,Web,205.58,Book,20:42
10023,South,Credit,93283893,Email,18.12,Book,10:12
10024,West,Credit,45991123,Web,20.04,DVD,16:27
10025,West,Paypal,79121745,Email,23.21,DVD,20:22
10026,West,Credit,80685117,Email,22.79,DVD,19:58
10027,West,Credit,56686474,Web,16.91,DVD,19:44
10028,South,Credit,25270813,Web,20.22,Book,19:28
10029,East,Paypal,59736137,Web,18.36,DVD,15:48
10030,West,Paypal,79615191,Email,206.80,Book,18:14
10031,North,Paypal,55365094,Email,17.95,DVD,15:15
10032,East,Credit,79118930,Web,18.29,Book,12:59
10033,South,Paypal,84470584,Web,18.55,Book,17:38
10034,West,Credit,71097636,Web,18.82,Book,02:02
10035,West,Credit,73290219,Web,16.35,Book,14:05
10036,East,Credit,92093991,Web,16.30,DVD,04:04
10037,South,Paypal,11165609,Web,217.00,Book,00:00
10038,East,Credit,79944825,Web,16.15,DVD,10:28
10039,North,Credit,59537977,Web,18.78,DVD,05:05
10040,South,Credit,37870882,Web,150.99,Book,07:07
10041,West,Credit,59747081,Web,21.39,DVD,19:20
10042,West,Credit,33511221,Web,16.60,DVD,16:23
10043,South,Paypal,69676186,Web,23.81,Book,07:07
10044,South,Credit,72150231,Web,15.87,Book,13:46
10045,West,Credit,64874923,Web,20.82,DVD,09:09
10046,South,Credit,79755506,Web,21.15,Book,06:06
10047,South,Paypal,43322747,Web,19.66,DVD,18:50
10048,West,Paypal,57979095,Email,21.02,DVD,03:03
10049,West,Credit,96485037,Web,23.13,DVD,06:06
10050,West,Paypal,85636284,Web,15.17,DVD,18:53
10051,East,Paypal,42519148,Web,209.51,Book,09:09
10052,West,Credit,59845178,Web,16.03,Book,17:28
10053,North,Credit,47961093,Email,16.17,DVD,13:18
10054,East,Credit,32857450,Web,18.37,DVD,08:08
10055,East,Credit,23437096,Web,15.96,Book,08:08
10056,North,Paypal,23846199,Web,19.29,Book,00:00
10057,West,Paypal,15630914,Email,16.49,DVD,19:59
10058,East,Paypal,64471213,Web,18.12,Book,17:35
10059,East,Credit,70288635,Web,18.22,DVD,15:52
10060,East,Credit,46067931,Web,18.32,Book,10:15
10061,West,Credit,73400603,Web,23.77,DVD,19:53
10062,East,Paypal,31794035,Web,24.35,Book,15:16
10063,South,Credit,72954240,Email,20.13,DVD,13:55
10064,North,Credit,12364851,Email,20.77,DVD,13:34
10065,North,Credit,19974213,Email,16.98,DVD,19:21
10066,East,Credit,68753569,Email,19.40,Book,15:02
10067,East,Paypal,77232784,Email,23.49,Book,04:04
10068,South,Credit,94731015,Web,15.58,Book,11:39
10069,South,Credit,49007475,Web,21.94,DVD,20:19
10070,South,Credit,71384600,Email,229.73,Book,01:01
10071,West,Credit,15282110,Web,16.06,Book,10:31
10072,South,Credit,87012305,Web,22.21,DVD,10:01
10073,West,Credit,27742544,Email,21.58,DVD,00:00
10074,North,Paypal,97981670,Email,16.09,Book,03:03
10075,East,Credit,83670405,Email,16.10,DVD,10:13
10076,East,Credit,99063530,Web,15.95,DVD,00:00
10077,South,Credit,25978103,Email,17.77,Book,01:01
10078,North,Credit,81824666,Web,19.30,DVD,11:24
10079,West,Paypal,86833489,Web,21.75,Book,10:23
10080,West,Paypal,73512800,Web,20.51,Book,11:29
10081,North,Credit,11673210,Web,16.14,DVD,04:04
10082,West,Paypal,76787805,Email,157.76,Book,19:02
10083,South,Credit,34610946,Web,21.55,Book,09:09
10084,North,Paypal,69586073,Web,21.85,DVD,12:24
10085,East,Credit,87017416,Web,21.70,DVD,13:33
10086,East,Paypal,37371293,Web,20.31,Book,19:26
10087,East,Credit,27497600,Email,23.62,Book,22:20
10088,East,Credit,29510284,Web,216.37,Book,10:20
10089,North,Paypal,40878208,Web,21.99,DVD,03:03
10090,West,Credit,83375454,Email,18.20,DVD,05:05
10091,East,Credit,61236522,Email,17.31,Book,00:00
10092,West,Credit,68788857,Web,23.94,Book,16:08
